Date,Close,등락률,PER,PBR,회전율,환율,코스피,나스닥
2023-02-01,91400,3.28,6.53,1.01,0.0053,1232.1500244140625,2449.8,2.0
2023-02-02,93400,2.19,6.68,1.03,0.006,1221.949951171875,2468.88,3.25
2023-02-03,92200,-1.28,6.59,1.02,0.004,1224.9000244140625,2480.4,-1.59
2023-02-06,89100,-3.36,6.37,0.99,0.0039,1246.75,2438.19,-1.0
2023-02-07,90800,1.91,6.49,1.0,0.003,1261.22998046875,2451.71,1.9
2023-02-08,94900,4.52,6.78,1.05,0.0054,1255.3499755859375,2483.64,-1.68
2023-02-09,94400,-0.53,6.75,1.04,0.0037,1260.469970703125,2481.52,-1.02
2023-02-10,93500,-0.95,6.68,1.03,0.0027,1264.550048828125,2469.73,-0.61
2023-02-13,90600,-3.1,6.48,1.0,0.0043,1266.8699951171875,2452.7,1.48
2023-02-14,93400,3.09,6.68,1.03,0.003,1272.93994140625,2465.64,0.57
2023-02-15,91700,-1.82,6.56,1.01,0.0025,1272.25,2427.9,0.92
2023-02-16,92900,1.31,6.64,1.03,0.0025,1283.719970703125,2475.48,-1.78
2023-02-17,92000,-0.97,6.58,1.02,0.0023,1288.9599609375,2451.21,-0.58
2023-02-21,91200,-1.41,6.52,1.01,0.002,1296.1099853515625,2458.96,-2.5
2023-02-22,89100,-2.3,6.37,0.99,0.0032,1305.8299560546875,2417.68,0.13
2023-02-23,92700,4.04,6.63,1.03,0.005,1302.8299560546875,2439.09,0.72
2023-02-24,91000,-1.83,6.51,1.01,0.0034,1298.0799560546875,2423.61,-1.69
2023-02-27,90000,-1.1,6.43,1.0,0.0026,1313.699951171875,2402.64,0.63
2023-02-28,89400,-0.67,6.39,0.99,0.0029,1318.3499755859375,2412.85,-0.1
